event,step,episodes,episode_steps,episode_score,death_reason,avg_score,avg_loss,best_score,replay_size,eval_score,eval_reward,best_eval
episode,39744,472,10,2,self,,,7,39744,,,
episode,39773,473,29,2,self,,,7,39773,,,
episode,39805,474,32,2,self,,,7,39805,,,
episode,39835,475,30,3,self,,,7,39835,,,
episode,39870,476,35,2,self,,,7,39870,,,
episode,39963,477,93,2,self,,,7,39963,,,
train,40000,477,,,,2.16,0.1289679541066289,7,40000,,,
eval,40000,477,,,,,,7,,1.8,8.777499999999879,1.8
episode,40087,478,124,4,self,,,7,40087,,,
episode,40213,479,126,3,self,,,7,40213,,,
episode,40234,480,21,2,self,,,7,40234,,,
episode,40247,481,13,2,self,,,7,40247,,,
episode,40264,482,17,2,self,,,7,40264,,,
episode,40320,483,56,3,self,,,7,40320,,,
episode,40362,484,42,4,self,,,7,40362,,,
episode,40410,485,48,2,self,,,7,40410,,,
episode,40461,486,51,2,self,,,7,40461,,,
episode,40499,487,38,2,self,,,7,40499,,,
episode,40542,488,43,2,self,,,7,40542,,,
episode,40594,489,52,3,self,,,7,40594,,,
episode,40660,490,66,2,self,,,7,40660,,,
episode,40694,491,34,2,self,,,7,40694,,,
episode,40718,492,24,3,self,,,7,40718,,,
episode,40801,493,83,4,self,,,7,40801,,,
episode,40896,494,95,3,self,,,7,40896,,,
episode,41452,495,556,1,timeout,,,7,41452,,,
episode,41752,496,300,0,timeout,,,7,41752,,,
episode,41792,497,40,2,self,,,7,41792,,,
episode,41848,498,56,3,self,,,7,41848,,,
train,42000,498,,,,2.29,0.13859011441469193,7,42000,,,
episode,42251,499,403,1,timeout,,,7,42251,,,
episode,42269,500,18,2,self,,,7,42269,,,
episode,42398,501,129,4,self,,,7,42398,,,
episode,42676,502,278,4,self,,,7,42676,,,
episode,42976,503,300,0,timeout,,,7,42976,,,
episode,43047,504,71,4,wall,,,7,43047,,,
episode,43140,505,93,2,wall,,,7,43140,,,
episode,43254,506,114,2,self,,,7,43254,,,
episode,43299,507,45,2,self,,,7,43299,,,
episode,43362,508,63,3,self,,,7,43362,,,
episode,43409,509,47,3,self,,,7,43409,,,
episode,43583,510,174,4,self,,,7,43583,,,
episode,43814,511,231,3,self,,,7,43814,,,
episode,43822,512,8,2,self,,,7,43822,,,
episode,43883,513,61,2,self,,,7,43883,,,
train,44000,513,,,,2.35,0.14076277866959572,7,44000,,,
episode,44183,514,300,0,timeout,,,7,44183,,,
episode,44214,515,31,2,self,,,7,44214,,,
episode,44256,516,42,2,self,,,7,44256,,,
episode,44471,517,215,4,self,,,7,44471,,,
episode,44535,518,64,3,self,,,7,44535,,,
episode,44699,519,164,3,self,,,7,44699,,,
episode,44808,520,109,3,self,,,7,44808,,,
episode,45041,521,233,2,self,,,7,45041,,,
episode,45105,522,64,3,self,,,7,45105,,,
episode,45154,523,49,5,self,,,7,45154,,,
episode,45201,524,47,4,wall,,,7,45201,,,
episode,45234,525,33,4,self,,,7,45234,,,
episode,45256,526,22,2,self,,,7,45256,,,
episode,45341,527,85,3,self,,,7,45341,,,
episode,45347,528,6,2,self,,,7,45347,,,
