generation,best_score,best_coverage,avg_score,avg_coverage,median_score,min_score,max_score,best_ever_score,best_ever_coverage,elite_avg_score,sigma,gen_time,total_time,single_best_score,single_best_coverage
230,55.0,0.58,36.602666666666664,0.39602666666666664,41.4,0.0,55.0,55.8,0.5880000000000001,49.25999999999999,0.08000000000000002,9.21,1741.21,63,0.66
231,51.8,0.548,35.342666666666666,0.3834266666666667,40.0,0.0,51.8,55.8,0.5880000000000001,48.187999999999995,0.08000000000000002,8.87,1750.11,65,0.68
232,52.2,0.5519999999999999,35.43466666666667,0.38434666666666667,40.6,0.0,52.2,55.8,0.5880000000000001,48.88399999999999,0.08000000000000002,8.94,1759.09,63,0.66
233,51.6,0.546,37.25266666666667,0.4025266666666667,41.0,0.2,51.6,55.8,0.5880000000000001,48.848,0.08000000000000002,9.32,1768.43,63,0.66
234,52.6,0.556,37.973333333333336,0.40973333333333334,42.1,0.4,52.6,55.8,0.5880000000000001,49.056,0.08000000000000002,9.36,1777.83,61,0.64
235,53.0,0.5599999999999999,38.462666666666664,0.41462666666666675,43.2,0.4,53.0,55.8,0.5880000000000001,49.084,0.08000000000000002,9.67,1787.53,64,0.67
236,53.8,0.568,37.99466666666667,0.4099466666666667,42.6,0.0,53.8,55.8,0.5880000000000001,49.272000000000006,0.08000000000000002,9.74,1797.32,65,0.68
237,54.0,0.57,39.82333333333333,0.42823333333333335,43.7,0.0,54.0,55.8,0.5880000000000001,49.93600000000001,0.08000000000000002,10.11,1807.46,61,0.64
238,54.2,0.5720000000000001,39.04066666666667,0.4204066666666667,43.3,0.0,54.2,55.8,0.5880000000000001,50.06799999999999,0.08000000000000002,10.05,1817.53,65,0.68
239,53.6,0.5660000000000001,38.14533333333333,0.41145333333333334,41.6,0.6,53.6,55.8,0.5880000000000001,49.87999999999999,0.08000000000000002,9.59,1827.16,64,0.67
240,53.8,0.568,37.48266666666667,0.40482666666666667,41.9,0.2,53.8,55.8,0.5880000000000001,49.77199999999999,0.08000000000000002,9.65,1836.85,66,0.69
241,53.8,0.568,37.92,0.4092,42.7,0.0,53.8,55.8,0.5880000000000001,49.715999999999994,0.08000000000000002,10.44,1847.32,65,0.68
242,54.6,0.576,37.913333333333334,0.40913333333333335,42.2,0.4,54.6,55.8,0.5880000000000001,50.05200000000001,0.08000000000000002,9.93,1857.29,64,0.67
243,52.8,0.558,39.696,0.42696000000000006,43.0,0.0,52.8,55.8,0.5880000000000001,49.688,0.08000000000000002,10.20,1867.52,65,0.68
244,53.0,0.5599999999999999,38.55466666666666,0.4155466666666667,42.7,0.6,53.0,55.8,0.5880000000000001,49.91199999999999,0.08000000000000002,10.02,1877.58,64,0.67
245,54.4,0.5740000000000001,37.214000000000006,0.40214,42.6,0.4,54.4,55.8,0.5880000000000001,50.22399999999999,0.08000000000000002,9.91,1887.53,62,0.65
246,53.4,0.564,36.73,0.3973,41.7,0.2,53.4,55.8,0.5880000000000001,49.58,0.08000000000000002,9.76,1897.32,63,0.66
247,53.0,0.56,36.205333333333336,0.39205333333333336,41.5,0.0,53.0,55.8,0.5880000000000001,50.06400000000001,0.08000000000000002,10.16,1907.51,63,0.66
248,54.0,0.5700000000000001,36.84,0.3984,42.4,0.0,54.0,55.8,0.5880000000000001,50.163999999999994,0.08000000000000002,9.90,1917.45,62,0.65
249,55.2,0.5820000000000001,38.40266666666666,0.41402666666666665,42.0,0.0,55.2,55.8,0.5880000000000001,50.776,0.08000000000000002,10.12,1927.61,62,0.65
250,54.4,0.574,37.19199999999999,0.40192,42.2,0.4,54.4,55.8,0.5880000000000001,50.548,0.08000000000000002,9.72,1937.37,63,0.66
251,55.0,0.58,36.73133333333334,0.3973133333333333,41.0,0.0,55.0,55.8,0.5880000000000001,49.972,0.08000000000000002,10.35,1947.76,63,0.66
252,54.2,0.572,37.858000000000004,0.40858,42.0,0.4,54.2,55.8,0.5880000000000001,49.628,0.08000000000000002,9.69,1957.48,64,0.67
253,54.2,0.572,35.80266666666667,0.38802666666666674,41.0,0.0,54.2,55.8,0.5880000000000001,50.144,0.08000000000000002,9.17,1966.67,62,0.65
254,54.0,0.5700000000000001,36.12933333333333,0.3912933333333333,40.4,0.0,54.0,55.8,0.5880000000000001,50.244,0.08000000000000002,9.04,1975.74,63,0.66
255,54.8,0.5780000000000001,35.275333333333336,0.38275333333333333,41.2,0.2,54.8,55.8,0.5880000000000001,50.772000000000006,0.08000000000000002,8.95,1984.72,63,0.66
256,57.6,0.606,35.418666666666674,0.3841866666666667,39.7,0.0,57.6,57.6,0.606,49.93599999999999,0.08000000000000002,9.27,1994.02,66,0.69
257,52.8,0.558,36.266666666666666,0.3926666666666667,40.1,0.0,52.8,57.6,0.606,49.948,0.08000000000000002,9.13,2003.18,62,0.65
258,55.2,0.5820000000000001,36.05933333333333,0.39059333333333335,40.8,0.0,55.2,57.6,0.606,50.016000000000005,0.08000000000000002,9.29,2012.50,64,0.67
259,54.2,0.5720000000000001,36.25666666666667,0.3925666666666667,41.3,0.0,54.2,57.6,0.606,49.804000000000016,0.08000000000000002,9.18,2021.70,65,0.68
260,53.2,0.562,36.96933333333333,0.39969333333333334,41.5,0.0,53.2,57.6,0.606,49.123999999999995,0.08000000000000002,9.02,2030.75,62,0.65
261,53.0,0.5599999999999999,37.184666666666665,0.4018466666666667,41.7,0.0,53.0,57.6,0.606,49.644,0.08000000000000002,9.25,2040.03,66,0.69
262,55.4,0.584,39.07866666666666,0.42078666666666675,43.3,0.2,55.4,57.6,0.606,50.14800000000001,0.08000000000000002,9.77,2049.83,63,0.66
263,55.4,0.584,38.03666666666667,0.4103666666666667,42.4,0.0,55.4,57.6,0.606,49.89200000000001,0.08000000000000002,10.06,2059.91,65,0.68
264,53.4,0.5640000000000001,37.196666666666665,0.4019666666666667,41.7,0.0,53.4,57.6,0.606,49.69999999999999,0.08000000000000002,9.89,2069.83,62,0.65
265,52.8,0.558,35.82266666666666,0.38822666666666666,41.5,0.0,52.8,57.6,0.606,49.56799999999999,0.08000000000000002,9.34,2079.20,64,0.67
266,56.0,0.5900000000000001,36.056,0.39056,41.3,0.0,56.0,57.6,0.606,49.34,0.08000000000000002,9.08,2088.32,63,0.66
267,53.6,0.5660000000000001,37.284,0.40284000000000003,41.5,0.0,53.6,57.6,0.606,49.843999999999994,0.08000000000000002,9.31,2097.66,66,0.69
