event,step,episodes,episode_steps,episode_score,death_reason,episode_length,avg_score,avg_loss,best_score,replay_size,eval_score,eval_score_median,eval_score_max,eval_reward,eval_avg_length,eval_max_length,eval_death_self,eval_death_wall,eval_death_timeout,best_eval
episode,5283,215,50,0,timeout,2,,,4,5283,,,,,,,,,,
episode,5333,216,50,0,timeout,2,,,4,5333,,,,,,,,,,
episode,5383,217,50,0,timeout,2,,,4,5383,,,,,,,,,,
episode,5386,218,3,0,wall,2,,,4,5386,,,,,,,,,,
episode,5436,219,50,0,timeout,2,,,4,5436,,,,,,,,,,
episode,5486,220,50,0,timeout,2,,,4,5486,,,,,,,,,,
episode,5498,221,12,0,wall,2,,,4,5498,,,,,,,,,,
episode,5548,222,50,0,timeout,2,,,4,5548,,,,,,,,,,
episode,5549,223,1,0,wall,2,,,4,5549,,,,,,,,,,
episode,5599,224,50,0,timeout,2,,,4,5599,,,,,,,,,,
episode,5649,225,50,0,timeout,2,,,4,5649,,,,,,,,,,
episode,5694,226,45,0,wall,2,,,4,5694,,,,,,,,,,
episode,5696,227,2,0,wall,2,,,4,5696,,,,,,,,,,
episode,5700,228,4,0,wall,2,,,4,5700,,,,,,,,,,
episode,5701,229,1,0,wall,2,,,4,5701,,,,,,,,,,
episode,5751,230,50,0,timeout,2,,,4,5751,,,,,,,,,,
episode,5781,231,30,0,wall,2,,,4,5781,,,,,,,,,,
episode,5831,232,50,0,timeout,2,,,4,5831,,,,,,,,,,
episode,5881,233,50,0,timeout,2,,,4,5881,,,,,,,,,,
episode,5885,234,4,0,wall,2,,,4,5885,,,,,,,,,,
episode,5892,235,7,0,wall,2,,,4,5892,,,,,,,,,,
episode,5942,236,50,0,timeout,2,,,4,5942,,,,,,,,,,
episode,5992,237,50,0,timeout,2,,,4,5992,,,,,,,,,,
train,6000,237,,,,,0.08,0.6060095903277397,4,6000,,,,,,,,,,
episode,6022,238,30,0,wall,2,,,4,6022,,,,,,,,,,
episode,6072,239,50,0,timeout,2,,,4,6072,,,,,,,,,,
episode,6122,240,50,0,timeout,2,,,4,6122,,,,,,,,,,
episode,6172,241,50,0,timeout,2,,,4,6172,,,,,,,,,,
episode,6222,242,50,0,timeout,2,,,4,6222,,,,,,,,,,
episode,6272,243,50,0,timeout,2,,,4,6272,,,,,,,,,,
episode,6276,244,4,0,wall,2,,,4,6276,,,,,,,,,,
episode,6279,245,3,0,wall,2,,,4,6279,,,,,,,,,,
episode,6282,246,3,0,wall,2,,,4,6282,,,,,,,,,,
episode,6332,247,50,0,timeout,2,,,4,6332,,,,,,,,,,
episode,6339,248,7,0,wall,2,,,4,6339,,,,,,,,,,
episode,6389,249,50,0,timeout,2,,,4,6389,,,,,,,,,,
episode,6439,250,50,0,timeout,2,,,4,6439,,,,,,,,,,
episode,6489,251,50,0,timeout,2,,,4,6489,,,,,,,,,,
episode,6528,252,39,0,wall,2,,,4,6528,,,,,,,,,,
episode,6533,253,5,0,wall,2,,,4,6533,,,,,,,,,,
episode,6583,254,50,0,timeout,2,,,4,6583,,,,,,,,,,
episode,6598,255,15,0,wall,2,,,4,6598,,,,,,,,,,
episode,6648,256,50,0,timeout,2,,,4,6648,,,,,,,,,,
episode,6659,257,11,0,wall,2,,,4,6659,,,,,,,,,,
episode,6709,258,50,0,timeout,2,,,4,6709,,,,,,,,,,
episode,6800,259,91,1,timeout,3,,,4,6800,,,,,,,,,,
episode,6844,260,44,0,wall,2,,,4,6844,,,,,,,,,,
episode,6894,261,50,0,timeout,2,,,4,6894,,,,,,,,,,
episode,6996,262,102,1,timeout,3,,,4,6996,,,,,,,,,,
episode,7022,263,26,0,wall,2,,,4,7022,,,,,,,,,,
episode,7072,264,50,0,timeout,2,,,4,7072,,,,,,,,,,
episode,7079,265,7,0,wall,2,,,4,7079,,,,,,,,,,
episode,7094,266,15,0,wall,2,,,4,7094,,,,,,,,,,
episode,7103,267,9,0,wall,2,,,4,7103,,,,,,,,,,
episode,7104,268,1,0,wall,2,,,4,7104,,,,,,,,,,
episode,7165,269,61,1,wall,3,,,4,7165,,,,,,,,,,
episode,7184,270,19,0,wall,2,,,4,7184,,,,,,,,,,
episode,7234,271,50,0,timeout,2,,,4,7234,,,,,,,,,,
episode,7284,272,50,0,timeout,2,,,4,7284,,,,,,,,,,
episode,7334,273,50,0,timeout,2,,,4,7334,,,,,,,,,,
episode,7452,274,118,1,timeout,3,,,4,7452,,,,,,,,,,
episode,7563,275,111,1,timeout,3,,,4,7563,,,,,,,,,,
episode,7613,276,50,3,self,5,,,4,7613,,,,,,,,,,
episode,7663,277,50,0,timeout,2,,,4,7663,,,,,,,,,,
episode,7785,278,122,1,timeout,3,,,4,7785,,,,,,,,,,
episode,7849,279,64,1,wall,3,,,4,7849,,,,,,,,,,
episode,7899,280,50,0,timeout,2,,,4,7899,,,,,,,,,,
episode,7900,281,1,0,wall,2,,,4,7900,,,,,,,,,,
episode,7950,282,50,0,timeout,2,,,4,7950,,,,,,,,,,
train,8000,282,,,,,0.15,0.44437803119421004,4,8000,,,,,,,,,,
episode,8031,283,81,1,timeout,3,,,4,8031,,,,,,,,,,
episode,8054,284,23,0,wall,2,,,4,8054,,,,,,,,,,
episode,8104,285,50,0,timeout,2,,,4,8104,,,,,,,,,,
episode,8108,286,4,0,wall,2,,,4,8108,,,,,,,,,,
episode,8158,287,50,0,timeout,2,,,4,8158,,,,,,,,,,
episode,8170,288,12,0,wall,2,,,4,8170,,,,,,,,,,
episode,8220,289,50,0,timeout,2,,,4,8220,,,,,,,,,,
episode,8270,290,50,0,timeout,2,,,4,8270,,,,,,,,,,
episode,8320,291,50,0,timeout,2,,,4,8320,,,,,,,,,,
episode,8370,292,50,0,timeout,2,,,4,8370,,,,,,,,,,
episode,8420,293,50,0,timeout,2,,,4,8420,,,,,,,,,,
episode,8470,294,50,0,timeout,2,,,4,8470,,,,,,,,,,
episode,8614,295,144,3,self,5,,,4,8614,,,,,,,,,,
episode,8664,296,50,0,timeout,2,,,4,8664,,,,,,,,,,
episode,8714,297,50,0,timeout,2,,,4,8714,,,,,,,,,,
episode,8764,298,50,0,timeout,2,,,4,8764,,,,,,,,,,
episode,8814,299,50,0,timeout,2,,,4,8814,,,,,,,,,,
episode,8864,300,50,0,timeout,2,,,4,8864,,,,,,,,,,
episode,8914,301,50,0,timeout,2,,,4,8914,,,,,,,,,,
episode,8964,302,50,0,timeout,2,,,4,8964,,,,,,,,,,
episode,9014,303,50,0,timeout,2,,,4,9014,,,,,,,,,,
episode,9015,304,1,0,wall,2,,,4,9015,,,,,,,,,,
episode,9065,305,50,0,timeout,2,,,4,9065,,,,,,,,,,
episode,9200,306,135,2,timeout,4,,,4,9200,,,,,,,,,,
episode,9250,307,50,0,timeout,2,,,4,9250,,,,,,,,,,
episode,9300,308,50,0,timeout,2,,,4,9300,,,,,,,,,,
episode,9380,309,80,1,timeout,3,,,4,9380,,,,,,,,,,
episode,9430,310,50,0,timeout,2,,,4,9430,,,,,,,,,,
episode,9480,311,50,0,timeout,2,,,4,9480,,,,,,,,,,
episode,9530,312,50,0,timeout,2,,,4,9530,,,,,,,,,,
episode,9669,313,139,2,timeout,4,,,4,9669,,,,,,,,,,
episode,9719,314,50,0,timeout,2,,,4,9719,,,,,,,,,,
episode,9727,315,8,0,wall,2,,,4,9727,,,,,,,,,,
episode,9832,316,105,1,timeout,3,,,4,9832,,,,,,,,,,
episode,9862,317,30,0,wall,2,,,4,9862,,,,,,,,,,
episode,9912,318,50,0,timeout,2,,,4,9912,,,,,,,,,,
train,10000,318,,,,,0.2,0.36322196289896963,4,10000,,,,,,,,,,
eval,10000,318,,,,,,,4,,0.05000000074505806,0.0,1,-18.085100173950195,2.049999952316284,3,0,2,18,0.05000000074505806
episode,10075,319,163,2,timeout,4,,,4,10075,,,,,,,,,,
episode,10125,320,50,0,timeout,2,,,4,10125,,,,,,,,,,
episode,10175,321,50,0,timeout,2,,,4,10175,,,,,,,,,,
episode,10225,322,50,0,timeout,2,,,4,10225,,,,,,,,,,
episode,10275,323,50,0,timeout,2,,,4,10275,,,,,,,,,,
episode,10325,324,50,0,timeout,2,,,4,10325,,,,,,,,,,
episode,10375,325,50,0,timeout,2,,,4,10375,,,,,,,,,,
episode,10425,326,50,0,timeout,2,,,4,10425,,,,,,,,,,
episode,10475,327,50,0,timeout,2,,,4,10475,,,,,,,,,,
episode,10563,328,88,1,timeout,3,,,4,10563,,,,,,,,,,
episode,10613,329,50,0,timeout,2,,,4,10613,,,,,,,,,,
episode,10663,330,50,0,timeout,2,,,4,10663,,,,,,,,,,
episode,10770,331,107,1,timeout,3,,,4,10770,,,,,,,,,,
episode,10820,332,50,0,timeout,2,,,4,10820,,,,,,,,,,
episode,10870,333,50,0,timeout,2,,,4,10870,,,,,,,,,,
episode,10972,334,102,1,timeout,3,,,4,10972,,,,,,,,,,
episode,11022,335,50,0,timeout,2,,,4,11022,,,,,,,,,,
episode,11023,336,1,0,wall,2,,,4,11023,,,,,,,,,,
episode,11128,337,105,1,timeout,3,,,4,11128,,,,,,,,,,
episode,11178,338,50,0,timeout,2,,,4,11178,,,,,,,,,,
episode,11228,339,50,0,timeout,2,,,4,11228,,,,,,,,,,
episode,11278,340,50,0,timeout,2,,,4,11278,,,,,,,,,,
episode,11279,341,1,0,wall,2,,,4,11279,,,,,,,,,,
episode,11329,342,50,0,timeout,2,,,4,11329,,,,,,,,,,
episode,11445,343,116,1,timeout,3,,,4,11445,,,,,,,,,,
